,year,stage,name,team_name,timing
1,2024,Stage 1 : Florence > Rimini,ROMAIN BARDET,TEAM DSM-FIRMENICH POSTNL,05H 07' 22''
2,2024,Stage 1 : Florence > Rimini,FRANK VAN DEN BROEK,TEAM DSM-FIRMENICH POSTNL,05H 07' 22''
3,2024,Stage 1 : Florence > Rimini,WOUT VAN AERT,TEAM VISMA | LEASE A BIKE,05H 07' 27''
4,2024,Stage 1 : Florence > Rimini,TADEJ POGAČAR,UAE TEAM EMIRATES,05H 07' 27''
5,2024,Stage 1 : Florence > Rimini,MAXIM VAN GILS,LOTTO DSTNY,05H 07' 27''
6,2024,Stage 1 : Florence > Rimini,ALEX ARANBURU DEVA,MOVISTAR TEAM,05H 07' 27''
7,2024,Stage 1 : Florence > Rimini,MADS PEDERSEN,LIDL-TREK,05H 07' 27''
8,2024,Stage 1 : Florence > Rimini,REMCO EVENEPOEL,SOUDAL QUICK-STEP,05H 07' 27''
9,2024,Stage 1 : Florence > Rimini,PELLO BILBAO LOPEZ DE ARMENTIA,BAHRAIN VICTORIOUS,05H 07' 27''
10,2024,Stage 1 : Florence > Rimini,ALBERTO BETTIOL,EF EDUCATION - EASYPOST,05H 07' 27''
11,2024,Stage 1 : Florence > Rimini,TOM PIDCOCK,INEOS GRENADIERS,05H 07' 27''
12,2024,Stage 1 : Florence > Rimini,EGAN BERNAL GOMEZ,INEOS GRENADIERS,05H 07' 27''
13,2024,Stage 1 : Florence > Rimini,ILAN VAN WILDER,SOUDAL QUICK-STEP,05H 07' 27''
14,2024,Stage 1 : Florence > Rimini,VICTOR CAMPENAERTS,LOTTO DSTNY,05H 07' 27''
15,2024,Stage 1 : Florence > Rimini,JAI HINDLEY,RED BULL - BORA - HANSGROHE,05H 07' 27''
16,2024,Stage 1 : Florence > Rimini,JONAS VINGEGAARD HANSEN,TEAM VISMA | LEASE A BIKE,05H 07' 27''
17,2024,Stage 1 : Florence > Rimini,DEREK GEE,ISRAEL - PREMIER TECH,05H 07' 27''
18,2024,Stage 1 : Florence > Rimini,ALEKSANDR VLASOV,RED BULL - BORA - HANSGROHE,05H 07' 27''
19,2024,Stage 1 : Florence > Rimini,TOMS SKUJINS,LIDL-TREK,05H 07' 27''
20,2024,Stage 1 : Florence > Rimini,GERAINT THOMAS,INEOS GRENADIERS,05H 07' 27''
21,2024,Stage 1 : Florence > Rimini,STEFF CRAS,TOTALENERGIES,05H 07' 27''
22,2024,Stage 1 : Florence > Rimini,RICHARD CARAPAZ,EF EDUCATION - EASYPOST,05H 07' 27''
23,2024,Stage 1 : Florence > Rimini,MATTEO JORGENSON,TEAM VISMA | LEASE A BIKE,05H 07' 27''
24,2024,Stage 1 : Florence > Rimini,TOBIAS HALLAND JOHANNESSEN,UNO-X MOBILITY,05H 07' 27''
25,2024,Stage 1 : Florence > Rimini,GUILLAUME MARTIN GUYONNET,COFIDIS,05H 07' 27''
26,2024,Stage 1 : Florence > Rimini,ENRIC MAS NICOLAU,MOVISTAR TEAM,05H 07' 27''
27,2024,Stage 1 : Florence > Rimini,JACK HAIG,BAHRAIN VICTORIOUS,05H 07' 27''
28,2024,Stage 1 : Florence > Rimini,CARLOS RODRIGUEZ,INEOS GRENADIERS,05H 07' 27''
29,2024,Stage 1 : Florence > Rimini,EDGAR OSCAR ONLEY,TEAM DSM-FIRMENICH POSTNL,05H 07' 27''
30,2024,Stage 1 : Florence > Rimini,ODD CHRISTIAN EIKING,UNO-X MOBILITY,05H 07' 27''
31,2024,Stage 1 : Florence > Rimini,GIULIO CICCONE,LIDL-TREK,05H 07' 27''
32,2024,Stage 1 : Florence > Rimini,MIKEL LANDA MEANA,SOUDAL QUICK-STEP,05H 07' 27''
33,2024,Stage 1 : Florence > Rimini,JOHANNES KULSET,UNO-X MOBILITY,05H 07' 27''
