,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
1,05 May 2024,13:05,41.223 km/h,2.UWT,ME - Men Elite,161 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,222,2310,San Francesco al Campo,Santuario di Oropa,25,721,4.3 km solo,20 °C
2,06 May 2024,13:25,42.535 km/h,2.UWT,ME - Men Elite,166.3 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,35,865,Novara,Fossano,25,721,Sprint of large group,17 °C
3,07 May 2024,12:35,44.523 km/h,2.UWT,ME - Men Elite,190 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,44,2151,Acqui Terme,Andora,25,721,Sprint of large group,14 °C
4,08 May 2024,13:00,44.503 km/h,2.UWT,ME - Men Elite,178 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,59,2197,Genova,Lucca,25,721,Sprint of 3 riders,20 °C
5,09 May 2024,13:00,44.788 km/h,2.UWT,ME - Men Elite,180 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,102,2118,Viareggio,Rapolano Terme,25,721,Sprint of 3 riders,23 °C
6,11 May 2024,12:45,37.644 km/h,2.UWT,ME - Men Elite,152 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,265,3658,Spoleto,Prati di Tivo,25,721,Sprint of 7 riders,20 °C
7,12 May 2024,12:15,45.153 km/h,2.UWT,ME - Men Elite,214 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,77,1574,Avezzano,Naples,25,721,Sprint of large group,23 °C
8,14 May 2024,13:15,38.064 km/h,2.UWT,ME - Men Elite,142 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,267,3029,Pompei,Bocca della Selva,25,721,2.5 km solo,24 °C
9,15 May 2024,12:15,47.171 km/h,2.UWT,ME - Men Elite,207 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,36,1830,Foiano di Val Fortore,Francavilla al Mare,25,721,Sprint of large group,24 °C
10,16 May 2024,12:30,46.744 km/h,2.UWT,ME - Men Elite,193 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,95,2162,Martinsicuro,Fano,25,721,11.5 km solo,21 °C
11,17 May 2024,13:10,44.371 km/h,2.UWT,ME - Men Elite,179 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,0,202,Riccione,Cento,25,721,Sprint of large group,24 °C
