,year,stage,name,time,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,2024,Stage 1 | Venaria Reale - Torino,NARVÁEZ Jhonatan,11663,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
1,2024,Stage 1 | Venaria Reale - Torino,SCHACHMANN Maximilian,11663,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
2,2024,Stage 1 | Venaria Reale - Torino,POGAČAR Tadej,11663,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
3,2024,Stage 1 | Venaria Reale - Torino,BAUDIN Alex,11669,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
4,2024,Stage 1 | Venaria Reale - Torino,CONCI Nicola,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
5,2024,Stage 1 | Venaria Reale - Torino,HERMANS Quinten,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
6,2024,Stage 1 | Venaria Reale - Torino,VANSEVENANT Mauri,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
7,2024,Stage 1 | Venaria Reale - Torino,TIBERI Antonio,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
8,2024,Stage 1 | Venaria Reale - Torino,VALTER Attila,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
9,2024,Stage 1 | Venaria Reale - Torino,THOMAS Geraint,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
10,2024,Stage 1 | Venaria Reale - Torino,GANNA Filippo,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
11,2024,Stage 1 | Venaria Reale - Torino,CARUSO Damiano,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
12,2024,Stage 1 | Venaria Reale - Torino,MARTÍNEZ Daniel Felipe,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
13,2024,Stage 1 | Venaria Reale - Torino,UIJTDEBROEKS Cian,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
14,2024,Stage 1 | Venaria Reale - Torino,DUNBAR Eddie,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
15,2024,Stage 1 | Venaria Reale - Torino,HONORÉ Mikkel Frølich,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
16,2024,Stage 1 | Venaria Reale - Torino,ALAPHILIPPE Julian,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
17,2024,Stage 1 | Venaria Reale - Torino,CHAVES Esteban,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
18,2024,Stage 1 | Venaria Reale - Torino,O'CONNOR Ben,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
19,2024,Stage 1 | Venaria Reale - Torino,PELLIZZARI Giulio,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
20,2024,Stage 1 | Venaria Reale - Torino,RUBIO Einer,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
21,2024,Stage 1 | Venaria Reale - Torino,LUTSENKO Alexey,11673,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
22,2024,Stage 1 | Venaria Reale - Torino,LÓPEZ Juan Pedro,11683,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
23,2024,Stage 1 | Venaria Reale - Torino,PARET-PEINTRE Aurélien,11683,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
24,2024,Stage 1 | Venaria Reale - Torino,HIRT Jan,11683,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
25,2024,Stage 1 | Venaria Reale - Torino,FORTUNATO Lorenzo,11687,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
26,2024,Stage 1 | Venaria Reale - Torino,TRATNIK Jan,11690,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
27,2024,Stage 1 | Venaria Reale - Torino,ZANA Filippo,11690,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
28,2024,Stage 1 | Venaria Reale - Torino,ALEOTTI Giovanni,11710,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
29,2024,Stage 1 | Venaria Reale - Torino,STORER Michael,11710,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
30,2024,Stage 1 | Venaria Reale - Torino,DE MARCHI Alessandro,11710,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
31,2024,Stage 1 | Venaria Reale - Torino,PICCOLO Andrea,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
32,2024,Stage 1 | Venaria Reale - Torino,SCHULTZ Nick,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
33,2024,Stage 1 | Venaria Reale - Torino,POZZOVIVO Domenico,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
34,2024,Stage 1 | Venaria Reale - Torino,QUINTANA Nairo,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
35,2024,Stage 1 | Venaria Reale - Torino,COVILI Luca,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
36,2024,Stage 1 | Venaria Reale - Torino,PALENI Enzo,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
37,2024,Stage 1 | Venaria Reale - Torino,STEINHAUSER Georg,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
38,2024,Stage 1 | Venaria Reale - Torino,BARDET Romain,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
39,2024,Stage 1 | Venaria Reale - Torino,PLAPP Luke,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
40,2024,Stage 1 | Venaria Reale - Torino,PIGANZOLI Davide,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
41,2024,Stage 1 | Venaria Reale - Torino,FRIGO Marco,11720,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
42,2024,Stage 1 | Venaria Reale - Torino,MULUBRHAN Henok,11730,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
43,2024,Stage 1 | Venaria Reale - Torino,FERNÁNDEZ Rubén,11763,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
44,2024,Stage 1 | Venaria Reale - Torino,CALMEJANE Lilian,11763,04 May 2024,13:55,43.214 km/h,2.UWT,ME - Men Elite,140 km,GT.B.Stage,UCI.WR.GT.B.Stage,Na,145,1851,Venaria Reale,Torino,25,721,Sprint of 3 riders,19 °C
