,#,Name,Country,Latitude,Longitude
0,1,Abbeville,France,50.10608349942843,1.8337029
1,2,Achères,France,48.960632099702075,2.0698106
2,3,Acoua,France,-12.724324500184663,45.0589372
3,4,Agde,France,43.31347870054157,3.4771629
4,5,Agen,France,44.20158270052466,0.6176112
5,6,Aire-sur-la-Lys,France,50.639593699316144,2.4000602
6,7,Aix-les-Bains,France,45.68862920038802,5.9146361999999995
7,8,Albert,France,50.0018021994519,2.6509223
8,9,Albertville,France,45.67546220038983,6.392541699999999
9,10,Albi,France,43.92775520053492,2.147899
10,11,Albina,France,5.498482999473295,-54.057453699999996
11,12,Alençon,France,48.431205899833124,0.09113739999999998
12,13,Alès,France,44.12536650052798,4.0852818
13,14,Alfortville,France,48.80516239974066,2.4197113
14,15,Allauch,France,43.33513810054171,5.483268699999999
15,16,Allonnes,France,47.969282999944994,0.1578819
16,17,Ambarès-et-Lagrave,France,44.925901100475144,-0.48818459999999997
17,18,Ambérieu-en-Bugey,France,45.9584309003489,5.3595099
18,19,Ambert,France,45.55043380040642,3.7426390000000005
19,20,Amboise,France,47.41103510007348,0.983698
0,21,Amilly,France,47.977885299942955,2.7673116999999996
1,22,Amnéville,France,49.26036129962811,6.142073899999999
2,23,Ancenis,France,47.36481410008367,-1.1816088
3,24,Andrésy,France,48.982144499696744,2.0610573
4,25,Anglet,France,43.48139270054197,-1.5149934999999999
5,26,Angoulême,France,45.651274800393104,0.1576745
6,27,Annemasse,France,46.19340050031148,6.234109299999999
7,28,Annonay,France,45.23996390044357,4.667547500000001
8,29,Antibes,France,43.58360000054139,7.10905
9,30,Antony,France,48.75355399975344,2.2959422999999997
10,31,Anzin,France,50.37039659937103,3.5020684
11,32,Apt,France,43.87579360053636,5.3970648
12,33,Arcachon,France,44.653942800497575,-1.1755714
13,34,Arcueil,France,48.80649959974033,2.3366502
14,35,Argelès-sur-Mer,France,42.549044700520035,3.0300792999999997
15,36,Argentan,France,48.742885899756104,-0.0223695
16,37,Argenton-sur-Creuse,France,46.58868220024185,1.5191029
17,38,Arles,France,43.677622300540314,4.630965299999999
18,39,Armentières,France,50.68672809930696,2.882169
19,40,Arnouville,France,48.98921259969501,2.4202823999999996
0,41,Arpajon,France,48.59028989979389,2.2477303
1,42,Arras,France,50.291047999387914,2.7772210999999998
2,43,Arsac,France,44.99718660046852,-0.6883739
3,44,Asnières-sur-Seine,France,48.91059479971452,2.2890454
4,45,Athis-Mons,France,48.70790279976478,2.3890940999999994
5,46,Aubagne,France,43.292438500541394,5.570303099999999
6,47,Aubenas,France,44.62054760050001,4.390239899999999
7,48,Aubergenville,France,48.959139199702456,1.8554319
8,49,Aubervilliers,France,48.914607799713494,2.3821894999999995
9,50,Aubière,France,45.751257500379324,3.1144195
10,51,Aubusson,France,45.95468960034947,2.1672725
11,52,Auch,France,43.64635580054074,0.5850506999999999
12,53,Auchel,France,50.50374919934333,2.4682058999999996
