,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,29 June 1919,-,24.35 km/h,Na,ME - Men Elite,388 km,GT.A.Stage,Na,Na,Na,Na,Paris,Le Havre,n/a,250,? - let us know!,Na
1,01 July 1919,-,22.96 km/h,Na,ME - Men Elite,364 km,GT.A.Stage,Na,Na,Na,Na,Le Havre,Cherbourg,n/a,250,? - let us know!,Na
2,03 July 1919,-,26.13 km/h,Na,ME - Men Elite,405 km,GT.A.Stage,Na,Na,Na,Na,Cherbourg,Brest,n/a,250,? - let us know!,Na
3,05 July 1919,-,25.97 km/h,Na,ME - Men Elite,412 km,GT.A.Stage,Na,Na,Na,Na,Brest,Les Sables d'Olonne,n/a,250,? - let us know!,Na
4,07 July 1919,-,25.5 km/h,Na,ME - Men Elite,482 km,GT.A.Stage,Na,Na,Na,Na,Les Sables-d'Olonne,Bayonne,n/a,250,? - let us know!,Na
5,09 July 1919,-,20.77 km/h,Na,ME - Men Elite,326 km,GT.A.Stage,Na,Na,Na,Na,Bayonne,Luchon,n/a,250,? - let us know!,Na
6,11 July 1919,-,24.45 km/h,Na,ME - Men Elite,323 km,GT.A.Stage,Na,Na,Na,Na,Luchon,Perpignan,n/a,250,? - let us know!,Na
7,13 July 1919,-,26.73 km/h,Na,ME - Men Elite,370 km,GT.A.Stage,Na,Na,Na,Na,Perpignan,Marseille,n/a,250,? - let us know!,Na
8,15 July 1919,-,24.74 km/h,Na,ME - Men Elite,338 km,GT.A.Stage,Na,Na,Na,Na,Marseille,Nice,n/a,250,? - let us know!,Na
9,17 July 1919,-,25.35 km/h,Na,ME - Men Elite,333 km,GT.A.Stage,Na,Na,Na,Na,Nice,Grenoble,n/a,250,? - let us know!,Na
10,19 July 1919,-,25.43 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Grenoble,Geneva,n/a,250,? - let us know!,Na
11,21 July 1919,-,24.5 km/h,Na,ME - Men Elite,371 km,GT.A.Stage,Na,Na,Na,Na,Geneva,Strasbourg,n/a,250,? - let us know!,Na
12,23 July 1919,-,26.43 km/h,Na,ME - Men Elite,315 km,GT.A.Stage,Na,Na,Na,Na,Strasbourg,Metz,n/a,250,? - let us know!,Na
13,27 July 1919,-,22.64 km/h,Na,ME - Men Elite,340 km,GT.A.Stage,Na,Na,Na,Na,Dunkerque,Paris,n/a,250,? - let us know!,Na
14,28 June 1914,-,29.16 km/h,Na,ME - Men Elite,388 km,GT.A.Stage,Na,Na,Na,Na,Paris,Le Havre,n/a,1145,? - let us know!,Na
15,30 June 1914,-,29.7 km/h,Na,ME - Men Elite,364 km,GT.A.Stage,Na,Na,Na,Na,Le Havre,Cherbourg,n/a,1145,? - let us know!,Na
16,02 July 1914,-,27.06 km/h,Na,ME - Men Elite,405 km,GT.A.Stage,Na,Na,Na,Na,Cherbourg,Brest,n/a,1145,? - let us know!,Na
17,04 July 1914,-,28.96 km/h,Na,ME - Men Elite,470 km,GT.A.Stage,Na,Na,Na,Na,Brest,La Rochelle,n/a,1145,? - let us know!,Na
18,05 July 1914,-,28.01 km/h,Na,ME - Men Elite,376 km,GT.A.Stage,Na,Na,Na,Na,La Rochelle,Bayonne,n/a,1145,? - let us know!,Na
19,06 July 1914,-,22.25 km/h,Na,ME - Men Elite,326 km,GT.A.Stage,Na,Na,Na,Na,Bayonne,Luchon,n/a,1145,? - let us know!,Na
20,08 July 1914,-,27.41 km/h,Na,ME - Men Elite,323 km,GT.A.Stage,Na,Na,Na,Na,Luchon,Perpignan,n/a,1145,? - let us know!,Na
21,10 July 1914,-,28.46 km/h,Na,ME - Men Elite,370 km,GT.A.Stage,Na,Na,Na,Na,Perpignan,Marseille,n/a,1145,? - let us know!,Na
22,12 July 1914,-,26.84 km/h,Na,ME - Men Elite,338 km,GT.A.Stage,Na,Na,Na,Na,Marseille,Nice,n/a,1145,? - let us know!,Na
23,14 July 1914,-,24.16 km/h,Na,ME - Men Elite,323 km,GT.A.Stage,Na,Na,Na,Na,Nice,Grenoble,n/a,1145,? - let us know!,Na
24,16 July 1914,-,26.03 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Grenoble,Geneva,n/a,1145,? - let us know!,Na
25,18 July 1914,-,25.93 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Geneva,Belfort,n/a,1145,? - let us know!,Na
26,20 July 1914,-,30.92 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Belfort,Longwy,n/a,1145,? - let us know!,Na
27,22 July 1914,-,25.91 km/h,Na,ME - Men Elite,390 km,GT.A.Stage,Na,Na,Na,Na,Longwy,Dunkerque,n/a,1145,? - let us know!,Na
28,24 July 1914,-,25.46 km/h,Na,ME - Men Elite,340 km,GT.A.Stage,Na,Na,Na,Na,Dunkerque,Paris,n/a,1145,? - let us know!,Na
29,29 June 1913,-,27.4 km/h,Na,ME - Men Elite,388 km,GT.A.Stage,Na,Na,Na,Na,Paris,Le Havre,n/a,1099,? - let us know!,Na
30,01 July 1913,-,29.51 km/h,Na,ME - Men Elite,364 km,GT.A.Stage,Na,Na,Na,Na,Le Havre,Cherbourg,n/a,1099,? - let us know!,Na
31,03 July 1913,-,28.97 km/h,Na,ME - Men Elite,405 km,GT.A.Stage,Na,Na,Na,Na,Cherbourg,Brest,n/a,1099,? - let us know!,Na
32,05 July 1913,-,29.06 km/h,Na,ME - Men Elite,470 km,GT.A.Stage,Na,Na,Na,Na,Brest,La Rochelle,n/a,1099,? - let us know!,Na
33,07 July 1913,-,29.9 km/h,Na,ME - Men Elite,379 km,GT.A.Stage,Na,Na,Na,Na,La Rochelle,Bayonne,n/a,1099,? - let us know!,Na
34,09 July 1913,-,23.44 km/h,Na,ME - Men Elite,326 km,GT.A.Stage,Na,Na,Na,Na,Bayonne,Luchon,n/a,1099,? - let us know!,Na
35,11 July 1913,-,27.16 km/h,Na,ME - Men Elite,324 km,GT.A.Stage,Na,Na,Na,Na,Luchon,Perpignan,n/a,1099,? - let us know!,Na
36,13 July 1913,-,30.36 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Perpignan,Aix-en-Provence,n/a,1099,? - let us know!,Na
37,15 July 1913,-,26.23 km/h,Na,ME - Men Elite,356 km,GT.A.Stage,Na,Na,Na,Na,Aix-en-Provence,Nice,n/a,1099,? - let us know!,Na
38,17 July 1913,-,25.34 km/h,Na,ME - Men Elite,333 km,GT.A.Stage,Na,Na,Na,Na,Nice,Grenoble,n/a,1099,? - let us know!,Na
39,19 July 1913,-,27.02 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Grenoble,Geneva,n/a,1099,? - let us know!,Na
40,21 July 1913,-,26.76 km/h,Na,ME - Men Elite,335 km,GT.A.Stage,Na,Na,Na,Na,Geneva,Belfort,n/a,1099,? - let us know!,Na
41,23 July 1913,-,28.29 km/h,Na,ME - Men Elite,325 km,GT.A.Stage,Na,Na,Na,Na,Belfort,Longwy,n/a,1099,? - let us know!,Na
42,25 July 1913,-,27.36 km/h,Na,ME - Men Elite,393 km,GT.A.Stage,Na,Na,Na,Na,Longwy,Dunkerque,n/a,1099,? - let us know!,Na
43,27 July 1913,-,28.27 km/h,Na,ME - Men Elite,340 km,GT.A.Stage,Na,Na,Na,Na,Dunkerque,Paris,n/a,1099,? - let us know!,Na
44,30 June 1912,-,30.1 km/h,Na,ME - Men Elite,351 km,GT.A.Stage,Na,Na,Na,Na,Paris,Dunkerque,n/a,1061,? - let us know!,Na
45,02 July 1912,-,29.8 km/h,Na,ME - Men Elite,388 km,GT.A.Stage,Na,Na,Na,Na,Dunkerque,Longwy,n/a,1061,? - let us know!,Na
46,04 July 1912,-,29.87 km/h,Na,ME - Men Elite,331 km,GT.A.Stage,Na,Na,Na,Na,Longwy,Belfort,n/a,1061,? - let us know!,Na
47,06 July 1912,-,28.5 km/h,Na,ME - Men Elite,344 km,GT.A.Stage,Na,Na,Na,Na,Belfort,Chamonix,n/a,1061,? - let us know!,Na
48,08 July 1912,-,26.77 km/h,Na,ME - Men Elite,366 km,GT.A.Stage,Na,Na,Na,Na,Chamonix,Grenoble,n/a,1061,? - let us know!,Na
49,10 July 1912,-,26.69 km/h,Na,ME - Men Elite,323 km,GT.A.Stage,Na,Na,Na,Na,Grenoble,Nice,n/a,1061,? - let us know!,Na
50,12 July 1912,-,27.6 km/h,Na,ME - Men Elite,334 km,GT.A.Stage,Na,Na,Na,Na,Nice,Marseille,n/a,1061,? - let us know!,Na
51,14 July 1912,-,26.17 km/h,Na,ME - Men Elite,335 km,GT.A.Stage,Na,Na,Na,Na,Marseille,Perpignan,n/a,1061,? - let us know!,Na
52,16 July 1912,-,27.75 km/h,Na,ME - Men Elite,289 km,GT.A.Stage,Na,Na,Na,Na,Perpignan,Luchon,n/a,1061,? - let us know!,Na
53,18 July 1912,-,22.76 km/h,Na,ME - Men Elite,326 km,GT.A.Stage,Na,Na,Na,Na,Luchon,Bayonne,n/a,1061,? - let us know!,Na
54,20 July 1912,-,28.75 km/h,Na,ME - Men Elite,379 km,GT.A.Stage,Na,Na,Na,Na,Bayonne,La Rochelle,n/a,1061,? - let us know!,Na
55,22 July 1912,-,29.14 km/h,Na,ME - Men Elite,470 km,GT.A.Stage,Na,Na,Na,Na,La Rochelle,Brest,n/a,1061,? - let us know!,Na
56,24 July 1912,-,27.45 km/h,Na,ME - Men Elite,405 km,GT.A.Stage,Na,Na,Na,Na,Brest,Cherbourg,n/a,1061,? - let us know!,Na
57,26 July 1912,-,28.8 km/h,Na,ME - Men Elite,361 km,GT.A.Stage,Na,Na,Na,Na,Cherbourg,Le Havre,n/a,1061,? - let us know!,Na
58,28 July 1912,-,29 km/h,Na,ME - Men Elite,317 km,GT.A.Stage,Na,Na,Na,Na,Le Havre,Paris,n/a,1061,? - let us know!,Na
