,year,date,stage,vertical_meters,profile_score,ps_25
1,2001.0,07/07,Prologue | Dunkirk - Dunkirk (8.2 km),66,3,3
2,2001.0,08/07,Stage 1 | Saint-Omer - Boulogne-sur-Mer (194.5 km),1885,60,25
3,2001.0,09/07,Stage 2 | Calais - Antwerpen (220.5 km),1044,7,3
4,2001.0,10/07,Stage 3 | Antwerpen - Seraing (198.5 km),2098,114,51
5,2001.0,11/07,Stage 4 | Huy - Verdun (215 km),2901,87,26
6,2001.0,12/07,Stage 5 (TTT) | Verdun - Bar-le-Duc (67 km),731,33,24
7,2001.0,13/07,Stage 6 | Commercy - Strasbourg (211.5 km),2541,75,7
8,2001.0,14/07,Stage 7 | Strasbourg - Colmar (162 km),3300,213,24
9,2001.0,15/07,Stage 8 | Colmar - Pontarlier (222.5 km),2250,133,39
10,2001.0,16/07,Stage 9 | Pontarlier - Aix-Les-Bains (185 km),2500,157,12
11,2001.0,17/07,Stage 10 | Aix-Les-Bains - L'Alpe d'Huez (209 km),5864,431,213
12,2001.0,18/07,Stage 11 (ITT) | Grenoble - Chamrousse (32 km),1863,327,313
13,2001.0,20/07,Stage 12 | Perpignan - Ax-les-Thermes (166 km),4000,414,220
14,2001.0,21/07,Stage 13 | Foix - Saint-Lary-Soulan (Pla d'Adet) (194 km),5500,599,260
15,2001.0,22/07,Stage 14 | Tarbes - Luz Ardiden (141.5 km),5174,547,254
16,2001.0,24/07,Stage 15 | Pau - Lavaur (232.5 km),3300,108,15
17,2001.0,25/07,Stage 16 | Castelsarrasin - Sarran (227.5 km),3500,188,82
18,2001.0,26/07,Stage 17 | Brive-la-Gaillarde - Montlucon (194 km),3000,123,24
19,2001.0,27/07,Stage 18 (ITT) | Montlucon - Saint-Amand-Montrond (61 km),541,24,3
20,2001.0,28/07,Stage 19 | Orleans - Evry (149.5 km),1022,22,11
21,2001.0,29/07,Stage 20 | Corbeil-Essones - Paris (160.5 km),1873,26,5
1,2002.0,06/07,Prologue | Luxembourg - Luxembourg (7 km),207,33,33
2,2002.0,07/07,Stage 1 | Luxembourg - Luxembourg (192.5 km),3000,165,48
3,2002.0,08/07,Stage 2 | Luxembourg - Saarbrücken (181 km),2860,99,30
4,2002.0,09/07,Stage 3 | Metz - Reims (174.5 km),1351,21,3
5,2002.0,10/07,Stage 4 (TTT) | Epernay - Château-Thierry (67.5 km),763,34,7
6,2002.0,11/07,Stage 5 | Soissons - Rouen (195 km),1503,22,4
7,2002.0,12/07,Stage 6 | Forges-les-Eaux - Alencon (199.5 km),2081,36,2
8,2002.0,13/07,Stage 7 | Bagnoles De l'Orne - Avranches (176 km),2234,70,19
