,name,strava_id
0,BARDET  Romain,1630132
0,VAN DEN BROEK  Frank,11270161
0,VAN AERT  Wout,189040
0,POGAČAR  Tadej,6021015
0,VAN GILS  Maxim,19005138
0,ARANBURU  Alex,7094043
0,PEDERSEN  Mads,30350488
0,EVENEPOEL  Remco,23069503
0,BILBAO  Pello,
0,BETTIOL  Alberto,16874183
0,PIDCOCK  Thomas,
0,BERNAL  Egan,2119306
0,VAN WILDER  Ilan,13125039
0,CAMPENAERTS  Victor,620617
0,HINDLEY  Jai,1760759
0,VINGEGAARD  Jonas,10495058
0,GEE  Derek,5571896
0,VLASOV  Aleksandr,19916624
0,SKUJIŅŠ  Toms,2413208
0,THOMAS  Geraint,
0,CRAS  Steff,2195719
0,CARAPAZ  Richard,15104335
0,JORGENSON  Matteo,557974
0,JOHANNESSEN  Tobias Halland,
0,MARTIN  Guillaume,2992543
0,MAS  Enric,28808807
0,HAIG  Jack,283726
0,RODRÍGUEZ  Carlos,
0,ONLEY  Oscar,2195067
0,EIKING  Odd Christian,601836
0,CICCONE  Giulio,29028250
0,LANDA  Mikel,
0,KULSET  Johannes,5495962
0,ROGLIČ  Primož,67384124
0,DE PLUS  Laurens,4049155
0,YATES  Simon,278282
0,AYUSO  Juan,
0,BARGUIL  Warren,722861
0,COSTA  Rui,
0,HARPER  Chris,
0,GALL  Felix,5060232
0,ARMIRAIL  Bruno,2192184
0,ALMEIDA  João,
0,SIVAKOV  Pavel,1808024
0,YATES  Adam,259171
0,ROMO  Javier,
0,BUITRAGO  Santiago,7310716
0,MEINTJES  Louis,18340568
0,KWIATKOWSKI  Michał,1905161
0,HEALY  Ben,1754389
0,POWLESS  Neilson,1557033
0,KELDERMAN  Wilco,479385
0,BERNARD  Julien,1903938
0,VERONA  Carlos,1405137
0,MADOUAS  Valentin,2404608
0,VERVAEKE  Louis,1123635
0,GIBBONS  Ryan,12772912
0,FORMOLO  Davide,1850959
0,TRATNIK  Jan,18885405
0,JUNGELS  Bob,49597893
0,ABRAHAMSEN  Jonas,3249116
0,TEJADA  Harold,
0,BEULLENS  Cedric,5250418
0,OLIVEIRA  Nelson,1366105
0,PAGE  Hugo,33118843
0,LAURANCE  Axel,14553572
0,LAPEIRA  Paul,12558355
0,PACHER  Quentin,1401877
0,RODRÍGUEZ  Cristián,9796680
0,GRELLIER  Fabien,
0,GENIETS  Kevin,13787818
0,VAN MOER  Brent,3855537
0,KRAGH ANDERSEN  Søren,
0,FUGLSANG  Jakob,
0,NEILANDS  Krists,12243285
0,GOOSSENS  Kobe,4411135
0,KÜNG  Stefan,133606
0,SOLER  Marc,1996868
0,GRÉGOIRE  Romain,31599656
0,MOHORIČ  Matej,4040441
0,CASTROVIEJO  Jonathan,
0,IZAGIRRE  Ion,
0,HERRADA  Jesús,2592729
0,HOULE  Hugo,288769
0,MOSCON  Gianni,3100044
0,VANHOUCKE  Harm,3416738
0,VERMEERSCH  Gianni,1978998
0,VAN DER POEL  Mathieu,559834
0,BENOOT  Tiesj,1128302
0,LEMMEN  Bart,
0,LUTSENKO  Alexey,19220743
0,CORT  Magnus,40897776
0,TILLER  Rasmus,3905720
0,STUYVEN  Jasper,288335
0,ARNDT  Nikias,
0,DE LIE  Arnaud,28980231
0,GRIGNARD  Sébastien,
0,WELLENS  Tim,366860
0,WÆRENSKJOLD  Søren,
0,EEKHOFF  Nils,3745308
0,DÉMARE  Arnaud,1737657
0,DENZ  Nico,3423315
0,DEGENKOLB  John,
0,POLITT  Nils,2592883
0,DUJARDIN  Sandy,18849788
0,RUSSO  Clément,2905866
0,DECLERCQ  Tim,1154552
0,JEGAT  Jordan,3513048
0,NAESEN  Oliver,440227
0,TURGIS  Anthony,5123163
0,PETERS  Nans,1662541
0,VAN DEN BERG  Marijn,2976119
0,GODON  Dorian,1809256
0,BISSEGGER  Stefan,4671192
0,PRODHOMME  Nicolas,5201565
0,SOBRERO  Matteo,7181420
0,GHYS  Robbe,7061008
0,TURNER  Ben,18956034
0,LAPORTE  Christophe,3834960
0,WRIGHT  Fred,25495602
0,BAUHAUS  Phil,2217800
0,GIRMAY  Biniam,
0,PEDERSEN  Casper,17999372
0,QUINN  Sean,5798962
0,GESCHKE  Simon,13872795
0,VAN POPPEL  Danny,3436109
0,DURBRIDGE  Luke,
0,MARTINEZ  Lenny,19286143
0,ZIMMERMANN  Georg,5284986
0,BURGAUDEAU  Mathieu,12274525
0,JUUL-JENSEN  Christopher,
0,ALLEGAERT  Piet,4111169
0,TEUNISSEN  Mike,1419979
0,POELS  Wout,37745230
0,COQUARD  Bryan,7633523
0,GAUDU  David,4774417
0,WILLIAMS  Stephen,
0,BOIVIN  Guillaume,616061
0,VAUQUELIN  Kévin,24668658
0,MEZGEC  Luka,3613487
0,STEWART  Jake,17096447
0,BENNETT  Sam,
0,HALLER  Marco,14762808
0,MATTHEWS  Michael,2468821
0,MÜHLBERGER  Gregor,
0,ACKERMANN  Pascal,12274527
0,LAZKANO  Oier,9567228
0,CHAMPOUSSIN  Clément,3429256
0,GARCÍA PIERNA  Raúl,13042964
0,DRIZNERS  Jarrad,1307997
0,DILLIER  Silvan,12427912
0,REINDERS  Elmar,19222952
0,CAPIOT  Amaury,2613903
0,RENARD  Alexis,5915515
0,GACHIGNARD  Thomas,28551378
0,GROENEWEGEN  Dylan,4352993
0,PHILIPSEN  Jasper,1727324
0,LAMPAERT  Yves,
0,REX  Laurenz,77293819
0,KRISTOFF  Alexander,9232885
0,MCLAY  Daniel,34780520
0,HIRT  Jan,591813
0,THIJSSEN  Gerben,3417988
0,VERCHER  Mattéo,
0,GAVIRIA  Fernando,24644516
0,MOZZATO  Luca,3404110
0,ZINGLE  Axel,6973093
0,FEDOROV  Yevgeniy,
0,BALLERINI  Davide,
0,RICKAERT  Jonas,2738100
0,MØRKØV  Michael,9695585
0,WELTEN  Bram,
0,BOL  Cees,1331421
0,CAVENDISH  Mark,
0,JAKOBSEN  Fabio,
0,GAZZOLI  Michele,
