,name,strava_id
0,GILBERT  Philippe,111267123
0,ROJAS  José Joaquín,5180371
0,TAARAMÄE  Rein,13248583
0,CANCELLARA  Fabian,7296868
0,ROCHE  Nicolas,29960839
0,QUINZIATO  Manuel,2399239
0,ZEITS  Andrey,13393892
0,GREIPEL  André,384548
0,OSS  Daniel,690926
0,SWIFT  Ben,1476851
0,GESINK  Robert,1216273
0,BURGHARDT  Marcus,1803986
0,URÁN  Rigoberto,1514397
0,KOREN  Kristijan,2858063
0,DANIELSON  Tom,7173167
0,KNEES  Christian,2455522
0,POELS  Wout,37745230
0,ROLLAND  Pierre,3586046
0,PORTE  Richie,6072239
0,CIOLEK  Gerald,433483
0,DE GENDT  Thomas,1855274
0,MARCATO  Marco,6898466
0,WESTRA  Lieuwe,4848585
0,BOUET  Maxime,7331365
0,ROY  Jérémy,1655561
0,MORABITO  Steve,183673
0,SCHÄR  Michael,296808
0,DELAPLACE  Anthony,12853663
0,TERPSTRA  Niki,340874
0,TEN DAM  Laurens,186522
0,VALVERDE  Alejandro,104584300
0,NIBALI  Vincenzo,8842341
0,CHEREL  Mikaël,2136208
0,ALBASINI  Michael,780854
0,LADAGNOUS  Matthieu,7348371
0,PINOT  Thibaut,1603067
0,KRUIJSWIJK  Steven,3056059
0,FROOME  Chris,7491815
0,MATÉ  Luis Ángel,2730001
0,PINEAU  Cédric,1627110
0,IMPEY  Daryl,1714205
0,MØRKØV  Michael,9695585
0,EDET  Nicolas,1621202
0,SIMON  Julien,2237545
0,MARINO  Jean-Marc,2273513
0,KRISTOFF  Alexander,9232885
0,VAN POPPEL  Danny,3436109
0,KWIATKOWSKI  Michał,1905161
0,BARDET  Romain,1630132
0,CLARKE  Simon,11460770
0,BAKELANTS  Jan,3943249
0,GESCHKE  Simon,13872795
0,LÓPEZ  David,2971302
0,MOLARD  Rudy,1759446
0,VUILLERMOZ  Alexis,1934385
0,REZA  Kévin,3989143
0,GAVAZZI  Francesco,21712783
0,DE MARCHI  Alessandro,9545283
0,CIMOLAI  Davide,20904837
0,COUSIN  Jérôme,1789488
0,LUTSENKO  Alexey,19220743
0,COQUARD  Bryan,7633523
0,VAN AVERMAET  Greg,287820
0,ELMIGER  Martin,2613513
0,FRANK  Mathias,27185541
0,DÉMARE  Arnaud,1737657
0,YATES  Simon,278282
0,OLIVEIRA  Nelson,1366105
0,STETINA  Peter,3645709
0,HERRADA  Jesús,2592729
0,REICHENBACH  Sébastien,850495
0,HOLLENSTEIN  Reto,19150197
0,HOWES  Alex,11673347
0,VISCONTI  Giovanni,2957348
0,CLEMENT  Stef,4211995
0,SCHILLINGER  Andreas,14588610
0,VIVIANI  Elia,26837991
0,KEUKELEIRE  Jens,8075081
0,PETIT  Adrien,5070415
0,KLUGE  Roger,22377272
0,DE LA CRUZ  David,2014488
0,MODOLO  Sacha,27129740
0,VAN EMDEN  Jos,7660926
