,segment_name,segment_time,segment_speed,watt,heart_rate,segment_distance,segment_vert,segment_grade,VAM
0,Montée Aranvielle,1:47,19.3,183,122,0.57,19,3.0,
1,Côte d'Estarvielle,2:59,16.3,276,144,0.81,57,7.0,
2,Jonction Peyresourde-Jonction Germ,5:39,21.0,422,164,1.98,154,7.8,1635
3,Peyresourde to Peragudes turn,13:07,20.8,401,166,4.54,368,8.1,1682
4,Peyresourde montée et descente,31:19,39.1,279,151,20.43,966,-1.7,
5,Cimes>loudervielle,3:03,21.3,431,168,1.08,88,8.1,1729
6,Col de Peyresourde,19:38,21.2,397,168,6.94,533,7.7,1630
7,_Fréchet_Mont,6:55,21.1,418,168,2.43,195,8.0,1693
8,Epingle Dr. - prairies de Balestas 2.5 km,6:58,21.1,377,167,2.45,184,7.5,1583
9,3 últimos km Peyresourd,8:19,21.4,386,167,2.96,218,7.4,1573
10,Prairies De Balestas Climb,3:28,21.2,398,167,1.22,91,7.5,1580
11,Peyresourde dernier km,2:47,20.7,393,169,0.95,88,9.2,1906
12,Full Power!,43s,27.9,325,169,0.33,14,3.4,
13,Peyresourde descente (1ère partie),3:58,72.2,67,132,4.77,404,-8.4,
14,flat and downhill part 20_550383,34:13,59.0,219,139,33.64,"1,065",-3.1,
15,Peyresourde East (descent),10:41,73.3,57,122,13.05,951,-7.3,
16,Partie rapide Peyresourde,2:18,83.2,10,120,3.19,248,-7.8,
17,Peyresourde descente vers Luchon depuis inter Agudes,6:39,73.9,53,117,8.19,542,-6.6,
18,Peyresourde descente (2ème partie),3:48,76.6,18,112,4.85,363,-7.0,
19,Peyresourde descente (3ème partie),2:44,71.6,91,125,3.26,192,-5.9,
20,Up before Luchon,17s,71.8,222,128,0.34,4,1.2,
21,Peyresourde DH-end,1:20,77.9,39,125,1.73,110,-6.3,
22,Schuss final peyresourde est,51s,83.9,—,115,1.18,97,-8.1,
23,D125 Climb,26s,55.8,182,143,0.40,5,-1.1,
24,Luchon - Cierp Gaud (RPt/RPt),16:01,52.4,312,149,14.00,120,-0.9,
25,Luchon to Poy Blast,3:21,45.4,208,137,2.53,13,-0.5,
26,Cazaux-Layrisse / Cierp,7:00,58.5,329,155,6.82,105,-1.5,
27,D'la bosse au pont,39s,57.7,479,149,0.62,13,-1.0,
28,Hamirubi Sprint (6.5k sprint towards Menté),7:20,53.1,297,148,6.49,72,-0.8,
29,Cierp-Gaude to Marignac,1:26,34.7,343,156,0.82,23,2.8,
30,Marignac - Saint Beat contre-la-montre,1:41,58.9,275,135,1.65,6,-0.1,
31,Rue De L'Anglade Climb,30s,54.6,313,140,0.45,86,19.0,10368
32,Col de Mentre,17:10,17.5,342,150,5.01,421,8.4,1473
33,Sascoumes Climb,7:34,16.7,346,149,2.10,192,9.1,1525
34,Col de Menté,33:36,16.5,345,153,9.26,828,8.9,1478
35,Plandan Climb,7:14,16.7,341,151,2.01,173,8.6,1433
36,Rouge Climb,2:17,16.2,355,155,0.61,96,15.5,2523
37,D44 Climb,4:02,17.5,362,157,1.17,101,8.6,1505
38,flat and downhill part 21_550383,13:12,50.9,168,131,11.19,707,-5.5,
39,Descente Menté (court),7:26,54.5,152,133,6.75,535,-7.9,
40,taquet chiant de la descente du Menté,1:26,28.7,382,150,0.68,38,3.6,
41,Col de Portet-d'Aspet,19:12,13.6,305,138,4.34,429,9.8,1342
42,Begin Aspet,3:11,13.0,317,135,0.69,80,11.6,
43,debut portet,5:41,14.4,306,138,1.36,149,10.4,1573
44,D618 Climb,2:46,13.1,286,137,0.60,94,15.5,2029
45,#Portet d´Aspet#,4:21,16.1,315,141,1.16,99,8.5,1363
46,Col de Portet D'Aspet descent East,13:31,56.5,133,113,12.72,477,-3.7,
47,Descent Col Aspet East - St Lary,5:31,60.3,62,108,5.54,373,-6.7,
48,D618 Climb,50s,60.9,105,102,0.84,86,10.2,6206
49,St Lary - St Girons,28:37,50.0,183,117,23.86,264,-1.1,
50,St Lary to D618,15:16,49.2,189,119,12.52,171,-1.2,
51,Argein - Audreddein,2:39,48.7,204,120,2.15,21,-1.0,
52,Audressein Climb,40s,34.9,261,129,0.38,15,3.9,
53,Audressein - Saint Girons,12:44,50.5,178,115,10.71,129,-1.2,
54,Audressein - Engomer,3:48,54.6,165,118,3.45,58,-1.7,
55,Moulis Saint Girons (panneau),4:02,49.7,199,117,3.34,30,-0.9,
56,ligne droit moulis-saint girons,1:03,47.9,194,116,0.83,6,-0.7,
57,Tute - Madis,21s,53.7,293,116,0.31,1,-0.1,
58,a rather cheeky uphill,14:10,45.8,231,126,10.80,74,0.7,
59,Sarrat Danat Climb,38s,48.3,242,126,0.51,80,15.7,7588
60,Lacourt - Soueix,8:48,45.7,223,125,6.70,43,0.6,
61,Oust > Col d'Agnés,1:04:42,24.3,284,139,26.17,"1,050",4.0,974
62,Climb Aulus,22:39,39.0,262,135,14.71,221,1.5,
63,Oust -> Ercé,10:23,38.7,267,134,6.69,112,1.6,
64,Cote Las Escales,2:13,31.9,297,141,1.17,40,3.4,
65,Col d'Agnes,39:53,15.2,297,141,10.08,817,8.0,1229
66,D8F Climb,4:21,16.9,297,141,1.22,224,18.3,3087
67,Première rampe Agnès.,18:13,14.2,298,141,4.31,373,8.6,1228
68,D8F Climb,4:44,14.1,291,141,1.11,133,11.9,1690
69,D8 F Climb,4:40,15.2,300,143,1.18,126,10.6,1621
70,Col d'Agnes Last KM,2:32,18.2,306,143,0.77,49,6.4,
71,flat and downhill part 23_550383,54:18,48.3,187,122,43.70,"1,082",-2.3,
72,Descente Col d'Agnès à l'étang de Lers,3:44,60.5,83,118,3.76,280,-7.4,
73,SPRINT du REFUGE de l'ÉTANG DE LERS,1:15,34.6,338,132,0.72,28,2.8,
74,Port de Lers (west),10:14,22.0,326,145,3.74,219,5.8,1283
75,Port de Lers (Le Port) - 10ème kilomètre,3:17,18.2,327,143,0.99,79,7.9,
76,Faux plat avant arrivée Port de l'Hers,1:22,40.9,330,148,0.93,12,1.3,
77,Port de l'hers Last KM,3:35,19.8,316,146,1.18,80,6.8,1346
78,Decsente Port de Lers (Vicdessos),10:40,63.4,44,100,11.26,754,-6.7,
79,Fin port de lers,1:50,72.7,27,93,2.22,166,-7.5,
80,Vic - Arconac,1:35,50.4,190,116,1.33,18,-1.1,
81,Vicqdessos / ND de Sabart (Tarascon),14:08,54.3,156,117,12.79,222,-1.7,
82,Classico - GP,1:05,54.8,69,114,0.99,15,-1.5,
83,ligne droite la ramade,1:06,60.5,133,107,1.10,26,-2.3,
84,laramade tarascon,7:43,54.9,164,117,7.06,119,-1.7,
85,faux plat niaux,3:29,55.2,164,118,3.20,60,-1.9,
86,entrée Tarascon,24s,60.3,197,114,0.40,6,-1.5,
87,Tarascon jusqu'a 2x2 voies,4:26,50.8,249,129,3.75,13,0.2,
88,4voies sens Tarascon Ax,2:25,51.1,259,132,2.05,22,1.0,
89,Aulos - Les cabannes,1:22,40.4,268,128,0.92,16,1.7,
90,Tempo-Beilles,19:08,15.9,315,141,5.07,429,8.5,1345
91,rampe d'entrée plateau de beille,58s,19.1,312,135,0.30,23,7.5,
92,1/2 Montée de Beille (départ place Cabannes jusqu'à la bornes km8),29:36,15.5,310,141,7.65,631,8.2,1279
93,Plateau de Beille,58:49,16.0,299,140,15.63,"1,235",7.9,1260
94,Plateau de Beille - 1er kilomètre,3:08,19.2,309,140,1.00,72,7.2,
95,A bloc,3:56,16.6,315,141,1.09,81,7.5,1242
96,Plateau de Beille - 2ème kilomètre,4:08,14.6,321,142,1.00,97,9.6,1405
97,D522 Climb,4:48,14.2,325,144,1.13,183,16.1,2288
98,Record D+ partie 2,7:36,15.1,320,143,1.91,169,8.8,1335
99,Plateau de Beille - 3ème kilomètre,3:41,16.3,320,145,0.99,79,7.9,
100,Plateau de Beille - 4ème kilomètre,4:12,14.5,317,142,1.01,90,8.9,1280
101,D522 Climb,2:53,15.1,318,143,0.72,84,11.6,1752
102,Plateau de Beille - 5ème kilomètre,3:53,15.6,306,141,1.00,95,9.4,1463
103,Plateau de Beille - 6ème kilomètre,3:45,16.1,303,139,1.00,82,8.1,1304
104,Albies-Beille partie 2,36:41,16.3,289,139,9.99,740,7.4,1210
105,Plateau de Beille - 7ème kilomètre,2:55,20.8,322,144,1.01,65,6.5,
106,Plateau de Beille - 8ème kilomètre,4:01,15.0,283,137,1.00,83,8.3,1246
107,D522 Climb,2:59,16.7,296,138,0.83,84,10.1,1688
108,Plateau de Beille - 9ème kilomètre,3:57,15.4,296,140,1.01,97,9.6,1470
109,Plateau de Beille - 10ème kilomètre,4:27,13.4,297,140,0.99,92,9.2,1235
110,D522 Climb,2:31,13.7,310,142,0.57,80,14.0,1917
111,Plateau de Beille - 11ème kilomètre,3:56,15.4,289,139,1.01,79,7.8,
112,D522 Climb,3:46,14.6,264,135,0.91,90,9.8,1430
113,Beille Last 5 Kms,18:00,17.1,280,137,5.13,356,6.9,1187
114,Plateau de Beille - 12ème kilomètre,3:49,15.9,261,133,1.00,63,6.3,
115,Plateau de Beille - 13ème kilomètre,3:43,16.2,292,137,1.00,81,8.0,1301
116,Plateau de Beille - 14ème kilomètre,3:26,17.6,289,139,1.00,68,6.7,
117,Plateau de Beille - 15ème kilomètre,3:29,17.3,292,138,1.00,69,6.9,
118,D522 Climb,24:24,4.6,61,92,1.86,100,5.3,245
119,Plateau de Beille - 650 derniers mètres,1:41,23.3,278,140,0.65,38,5.8,
120,Sprint Beille,29s,28.4,277,136,0.22,6,2.7,
121,First part descente,4:00,40.3,33,87,2.68,156,-5.6,
122,DH Pas de Roland km3,12:54,48.2,31,86,10.37,836,-8.1,
123,Seconde partie plus technique descente de Beille,15:04,48.0,30,86,12.06,990,-8.2,
124,retour test,2:24,50.6,8,79,2.02,238,-11.6,
125,3 km test,4:11,45.0,28,83,3.13,320,-10.1,
126,Sprint Les Cabannes-Aulos,2:44,32.7,120,100,1.49,58,-1.1,
